P26,[01]*1+0*,g,0011110000,0011100000,010111,100111000,1010111,1111111,00000111,0001000,,,,,,
P26,1+0*,g,11,111100,,,,,,,,,,,,
P26,1+0*,b,111100,1111,11110,1,10,,,,,,,,,
P26,1*0*,b,111000,00,1,0,,,,,,,,,,
P26,1*0*,g,1,0,111000,,,,,,,,,,,
P26,0{2}0{1},g,000,,,,,,,,,,,,,
P26,0{2}0{1},b,000,,,,,,,,,,,,,
P29,[01]{2}0{2},g,0000,1100,,,,,,,,,,,,
P29,[01]{2}0{2},b,0000,1100,0100,1000,,,,,,,,,,
P29,0{1}[01]+,b,00,01,000,001,010,011,,,,,,,,
P29,0{1}[01]+,g,00,01,000,001,010,011,0000,01111111,,,,,,
P29,0+,g,0,00,,,,,,,,,,,,
P29,0+,b,0,00,000,0000,00000,000000,0000000,00000000,000000000,,,,,
P29,0{2}1{2},b,0011,,,,,,,,,,,,,
P29,0{2}1{2},g,0011,,,,,,,,,,,,,
